1.97,41,812,18750,1642,52000,2,41,691,18750,1720,52000,0.46,10.4,,71,0.57,10.4,,71,4.12,71,3.91,71
1.9,39,754,18500,1924,49500,2.2,39,782,18500,2113,49500,0.54,10,,67,0.55,10,,67,4.61,66,3.95,66
2.15,39,775,18500,1650,49000,2.32,39,822,18500,1786,49000,0.51,10,,66,0.59,10,,66,4.15,66,4.38,66
2.15,39,763,18750,1942,48500,2.5,39,704,18750,1922,48500,0.62,10,,65,0.5,10,,65,4.03,66,4.68,66
2.3,40,722,19250,2213,49500,2.3,40,746,19250,2214,49500,0.53,10.5,,67,0.58,10.5,,67,4.1,68,4.67,68
2.13,40,930,19500,2229,49000,1.9,40,810,19500,2397,49000,0.45,10.5,,66,0.68,10.5,,66,4.74,66,4.71,66
1.97,41,930,19500,2229,49000,2.22,41,810,19500,2397,49000,0.67,10.5,,66,0.63,10.5,,66,4.85,66,5.07,66
2.4,40,930,19500,2229,49000,2.02,40,810,19500,2397,49000,0.67,10.5,,66,0.63,10.5,,66,4.85,66,5.07,66
2,39,882,19750,2355,49000,2.42,39,925,19750,2214,49000,0.63,10.5,,66,0.67,10.5,,66,4.75,66,5.19,66
2.47,38,936,19500,2378,50000,2.02,38,885,19500,2227,50000,0.67,10.5,,67,0.66,10.5,,67,4.8,68,5.36,68
2.3,38,919,19500,2473,49000,2.32,38,950,19500,2522,49000,0.53,10.5,,65,0.81,10.5,,65,5.64,64,5.06,64
2.6,37,531,19750,1465,49000,2.2,37,486,19750,1713,49000,0.45,10,,65,0.32,10,,65,2.9,65,2.38,65
1.32,38,531,19750,1465,49000,1.6,38,486,19750,1713,49000,0.45,10.5,,65,0.32,10.5,,65,2.9,65,2.38,65
1.47,39.5,530,19750,1766,49500,1.3,39.5,636,19750,1811,49500,0.33,10.8,,67,0.42,10.8,,67,3.96,67,3.92,67
1.65,37.5,577,19500,2196,48000,1.55,37.5,676,19500,2353,48000,0.4,10.4,,64,0.4,10.4,,64,4.12,64,4.18,64
1.75,37,662,19000,1783,47000,2.05,37,656,19000,1655,47000,0.45,10.2,,63,0.54,10.2,,63,4.04,63,4.33,63
1.87,36,838,19000,2163,48000,1.92,36,862,19000,2363,48000,0.48,10.2,,63,0.6,10.2,,63,4.8,63,4.46,63
2.1,35,901,19250,2724,50000,1.85,35,897,19250,2854,50000,0.7,10,,66,0.44,10,,66,4.55,66,4.15,66
2.03,35,942,19000,2303,48500,2.05,35,832,19000,2535,48500,0.53,10,,63,0.6,10,,63,4.41,63,4.32,63
2.13,34,931,18750,1952,45500,2.1,34,939,18750,2162,45500,0.58,9.6,,58,0.57,9.6,,58,4.54,58,4.16,58
2.38,35,820,19250,1025,46500,1.9,35,747,19250,815,46500,0.75,9.8,,60,0.45,9.8,,60,3.69,60,3.31,60
1.92,37,820,19250,1025,46500,2.1,37,747,19250,815,46500,0.28,10.5,,62,0.93,10.5,,62,3.77,62,3.39,62
2,35,781,19000,1026,46000,1.95,35,785,19000,932,46000,0.41,10,,61,0.82,10,,61,3.43,62,3.88,62
2.05,35,779,18750,1724,45500,2.15,35,762,18750,1747,45500,0.33,10,,60,0.95,10,,60,3.69,60,3.83,60
2.17,37,748,19750,2478,49000,2.27,37,729,19750,2555,49000,0.47,10.5,,66,0.7,10.5,,66,3.75,66,3.39,66
1.8,37,989,20000,3245,51000,2.4,37,1075,20000,3157,51000,0.62,11,,70,0.62,11,,70,3.92,70,3.42,70
2.57,36,1124,20250,3600,52000,2.25,36,1020,20250,3743,52000,0.62,10.5,,70,0.62,10.5,,70,3.92,70,3.42,70
2.57,36,1183,20500,3218,52500,2.25,36,1265,20500,3207,52500,0.62,10.5,,70,0.62,10.5,,70,3.92,70,3.42,70
2,36,1474,20000,3444,51500,2.4,36,1366,20000,3464,51500,0.38,10.5,,67,0.87,10.5,,67,3.37,68,4.24,68
2.65,34,1520,19750,3373,51500,2.1,34,1420,19750,3536,51500,0.37,10.5,,67,0.89,10.5,,67,4.57,66,3.52,66
2.2,34,1454,19250,3871,52000,2.25,34,1452,19250,3816,52000,0.56,10,,67,1.1,10,,67,3.64,68,4.2,68
2.7,32,1711,18750,4289,52500,2.35,32,1733,18750,4172,52500,0.65,9.5,,67,1.03,9.5,,67,4.63,68,5.12,68
2.52,33,1772,18750,4349,50500,2.9,33,1804,18750,4173,50500,0.73,9.5,,64,1.22,9.5,,64,4.51,64,4.45,64
3,32,1533,17000,4011,47500,2.55,32,1495,17000,4248,47500,0.86,9,,59,1.06,9,,59,4.6,60,5.39,60
1.85,34,741,17250,2028,47500,1.67,34,756,17250,2198,47500,0.71,9.4,,60,0.57,9.4,,60,3.62,60,3.58,60
2.47,34,1044,16750,2626,45000,1.95,34,1000,16750,2717,45000,0.6,9.2,,55,0.71,9.2,,55,4.61,55,4.06,55
2.47,33,1055,16500,3424,45000,1.95,33,966,16500,3524,45000,0.7,9,,56,0.73,9,,56,4.93,56,4.44,56
2.57,35,1134,17500,2566,47500,2.6,35,1249,17500,2732,47500,0.79,9.8,,61,0.76,9.8,,61,4.39,61,3.94,61
2.25,33,1184,17250,2533,46000,2.67,33,1197,17250,2382,46000,0.76,9.5,,59,0.84,9.5,,59,4.05,59,4.48,59
1.65,32,1127,17750,2468,45500,2.07,32,1069,17750,2466,45500,0.88,9.8,,58,0.76,9.8,,58,4.16,58,4.54,58
2.3,29,1248,17000,2981,42500,1.6,29,1214,17000,3008,42500,0.7,9.4,,53,0.97,9.4,,53,5.21,52,4.79,52
3.27,30,1178,18000,3200,45500,3.02,30,1106,18000,3286,45500,1.28,9.5,,56,1.04,9.5,,56,5.38,56,5.37,56
2.65,31,1419,17500,3700,44000,2.92,31,1478,17500,3484,44000,1.1,10,,54,1.82,10,,54,6.19,54,6.44,54
3,29,1737,15750,4405,38500,3.32,29,1688,15750,4182,38500,1.48,8.5,,53,1.35,8.5,,53,4.4,50,7.62,50
3,32,1328,17250,3736,42500,3.5,32,1345,17250,3866,42500,1.52,10,,57,1.58,10,,57,5.75,58,6.21,58
3,31,2298,18750,4001,43000,3.2,31,2348,18750,3823,43000,1.74,10,,56,1.46,10,,56,6.07,56,5.99,56
3,34,1206,18750,3718,45500,3.1,34,1121,18750,3872,45500,0.98,11.5,,61,1.67,11.5,,61,5.79,60,4.74,60
3.8,32,1542,17000,3596,46000,2.8,32,1539,17000,3501,46000,1.26,9.5,,59,1.35,9.5,,59,5.78,58,4.9,58
2.97,36,976,18750,8657,49500,2.92,36,1039,18750,8456,49500,1.43,10.5,,68,1.17,10.5,,68,5,68,4.55,68
2.88,37,1423,19500,3226,51000,2.72,37,1465,19500,7625,51000,0.96,11.5,,65,1.45,11.5,,65,5.04,64,4.29,64
3.35,34,930,21250,2614,57000,2.9,34,1010,21250,2821,57000,0.72,11,,63,1.1,11,,63,0.5,72,9.44,72
2.6,40,930,21250,2614,57000,3.3,40,1010,21250,2821,57000,1.05,13,,81,1.09,13,,81,4.87,80,3.9,80
